Name,Average Distance Centrality,Closeness Centrality,Decay Centrality,Diffusion Degree Centrality,Geodestic K Path Centrality,Laplacian Centrality,Leverage Centrality,Lin Centrality,Eigenvector Centrality,Subgraph Centrality,Betweenness Centrality,Degree Centrality,Cluster,PC1,PC2
ORF65,2.7058823529411766,0.36086956521739133,14.71875,34,77,0.013186813186812689,-0.26282051282051283,29.952173913043477,0.03929751953551285,20.873135594959415,0.00954328241060536,0.04819277108433735,0,-2.3265790710201815,0.19327626899801964
ORF39,2.388235294117647,0.4088669950738916,17.9375,57,82,0.026373626373625877,-0.08552754435107375,33.935960591133004,0.0758030158210022,60.822950133208586,0.028379176433067504,0.07228915662650603,0,0.04230007665480879,0.6699942585593512
ORF26,2.823529411764706,0.3458333333333333,13.46875,28,73,0.008424908424908093,-0.19999999999999998,28.704166666666666,0.03488330449984037,17.289337674314062,0.0006915106312696676,0.04819277108433735,0,-2.9944847172133007,-0.21361521603647715
ORF58,2.4705882352941178,0.3952380952380952,17.0,53,79,0.020879120879120715,-0.3938549955791335,32.804761904761904,0.07108782756358836,52.81546568765589,0.004697532375703339,0.04819277108433735,0,-1.1299311868880855,0.8604928818413103
ORF28,3.1058823529411765,0.3143939393939394,11.65625,19,54,0.005860805860805362,-0.6181818181818182,26.09469696969697,0.019297590997293862,6.862711477595219,0.0007255502847627445,0.024096385542168676,3,-4.946221326103945,-1.8011519407375984
ORF56,2.7411764705882353,0.3562231759656652,14.46875,32,73,0.012820512820512822,-0.4423558897243108,29.566523605150216,0.04427281497262686,22.12344376528465,0.001626107591432305,0.03614457831325302,0,-2.8255456537222625,0.0610789747665972
ORF9,2.411764705882353,0.40487804878048783,17.8125,69,80,0.028571428571428577,-0.23429903429903431,33.604878048780485,0.09123750058069817,86.88218267474039,0.008543714831549098,0.07228915662650603,0,-0.1651036801687361,0.699194641109791
ORF49,2.7294117647058824,0.3577586206896552,14.625,44,71,0.01245421245421229,-0.27380952380952384,29.69396551724138,0.050011664288396575,32.55956973905851,0.0019902702352011786,0.060240963855421686,0,-2.403272383008165,-0.2504529329485624
ORF53,3.3529411764705883,0.2912280701754386,9.71875,7,41,0.0025641025641022315,-0.7142857142857143,24.171929824561403,0.008300976023307255,2.458206318361411,0.0,0.012048192771084338,3,-6.296128500887727,-3.0594723550750746
ORF52,3.2470588235294118,0.3007246376811594,10.46875,15,47,0.003663003663003497,-0.25,24.96014492753623,0.01228527932850174,5.968615375245308,0.0,0.03614457831325302,3,-5.2407809820506595,-2.7334833450909577
